Timestamp,Shift,Reactor_Temperature_K,Pressure_kPa,Flow_Rate_Lpm,Feed_Concentration_molL,Conversion_pct
3/2/2026 20:00,Night,348.49,171.9,12.93,,52.65
3/2/2026 20:15,Night,349.44,180.75,12.07,2.35,54.19
3/2/2026 20:30,Night,350.6,177.35,,2.43,55.02
3/2/2026 20:45,Night,351.76,183.41,12.04,2.56,57.17
3/2/2026 21:00,Night,349.14,,13.24,2.61,55.14
3/2/2026 21:15,Night,349.67,179.54,13.05,2.36,51.54
3/2/2026 21:30,Night,348.01,182.02,11.85,2.63,55.25
3/2/2026 21:45,Night,347.85,183.46,12.58,,55.77
3/2/2026 22:00,Night,351.46,175.2,12.39,2.56,56.91
3/2/2026 22:15,Night,352.44,178.66,12.82,2.78,-5
3/2/2026 22:30,Night,349.87,178.1,11.42,2.38,57.04
3/2/2026 22:45,Night,,177.39,12.41,2.31,56.78
3/2/2026 23:00,Night,350.65,187.06,12.64,2.23,55.05
3/2/2026 23:15,Night,348.84,181.62,10.94,2.72,50.44
3/2/2026 23:30,Night,350.65,174.96,11.29,2.6,56.3
3/2/2026 23:45,Night,,183.67,10.78,2.49,56.49
3/3/2026 0:00,Night,349.94,188.49,16.73,2.54,55.66
3/3/2026 0:15,Night,352.82,184.13,12.43,2.33,52.79
3/3/2026 0:30,Night,345.28,173.92,12.9,2.87,50.65
3/3/2026 0:45,Night,351.48,178.06,,2.52,58.15
3/3/2026 1:00,Night,,185.07,12.98,2.52,54.96
3/3/2026 1:15,Night,349.46,177.17,11.17,2.61,56.52
3/3/2026 1:30,Night,350.17,181.78,10.98,2.57,55.13
3/3/2026 1:45,Night,346.42,183.1,11.97,2.53,53.82
3/3/2026 2:00,Night,349.6,176.29,12.23,2.38,57.21
3/3/2026 2:15,Night,350.64,179.76,11.98,2.57,53.93
3/3/2026 2:30,Night,352.66,167.03,10.76,2.78,56.17
3/3/2026 2:45,Night,349.07,175.9,11.95,2.7,53.52
3/3/2026 3:00,Night,348.54,178.99,11.22,2.74,53.4
3/3/2026 3:15,Night,349.1,175.01,12.4,2.42,53.91
3/3/2026 3:30,Night,351.65,186.53,12.22,2.35,56.13
3/3/2026 3:45,Night,350.59,174.28,11.44,2.48,54.01
3/3/2026 4:00,Night,349.05,178.24,11.69,2.51,57.81
3/3/2026 4:15,Night,350.92,180.52,11.36,2.66,53.09
3/3/2026 4:30,Night,350.17,185.77,11.96,2.25,54.59
3/3/2026 4:45,Night,351.74,174.26,12.57,2.73,54.51
3/3/2026 5:00,Night,348.74,184.65,11.41,2.48,
3/3/2026 5:15,Night,349.41,180.04,12.3,2.44,55.28
3/3/2026 5:30,Night,349.29,176.07,11.68,2.35,57.33
3/3/2026 5:45,Night,347.37,181.85,11.52,2.25,
3/3/2026 6:00,Day,352.53,,11.94,2.62,59.55
3/3/2026 6:15,Day,352.47,177.6,11.38,2.51,61.09
3/3/2026 6:30,Day,352.01,180.28,11.67,2.31,58.91
3/3/2026 6:45,Day,351.58,178.46,11.28,2.31,61.22
3/3/2026 7:00,Day,349.45,180.45,13.18,2.45,56.52
3/3/2026 7:15,Day,351.24,182.65,12.02,2.75,61.96
3/3/2026 7:30,Day,351.38,186.34,11.58,2.46,64.23
3/3/2026 7:45,Day,350.56,175.05,12.13,2.27,57.29
3/3/2026 8:00,Day,351.71,188.53,11.93,2.46,57.48
3/3/2026 8:15,Day,352.73,172.19,11.87,2.46,62.59
3/3/2026 8:30,Day,355.4,179.39,12.37,,63.84
3/3/2026 8:45,Day,352.31,182.35,12.45,2.49,57.5
3/3/2026 9:00,Day,352.46,181.12,11.68,2.47,57.81
3/3/2026 9:15,Day,351.87,177.51,11.65,2.6,57.95
3/3/2026 9:30,Day,348.55,179.17,11.83,2.78,54.13
3/3/2026 9:45,Day,351.95,178.03,10.62,2.67,56.39
3/3/2026 10:00,Day,352.11,177.64,11.09,2.46,56.23
3/3/2026 10:00,Day,352.11,177.64,11.09,2.46,56.23
3/3/2026 10:15,Day,356.43,183.4,12.82,2.33,58.33
3/3/2026 10:30,Day,351.65,181.43,12.99,2.89,58.49
3/3/2026 10:45,Day,352.54,177.23,11.85,2.51,59.48
3/3/2026 11:00,Day,351.94,183.6,12.35,2.5,62.55
3/3/2026 11:00,Day,351.94,183.6,12.35,2.5,62.55
3/3/2026 11:15,Day,349.9,181.23,12.19,2.5,55.47
3/3/2026 11:30,Day,354.06,183.25,13.85,2.53,61.88
3/3/2026 11:45,Day,353.35,182.52,12.67,2.48,58.64
3/3/2026 12:00,Day,353.42,176.68,11.92,2.41,59.07
3/3/2026 12:15,Day,350.36,177.76,11.43,2.42,59.81
3/3/2026 12:30,Day,354.53,182.99,11.04,2.5,56.78
3/3/2026 12:45,Day,349.48,182.44,12.12,2.42,58.77
3/3/2026 13:00,Day,353.06,179.92,11.55,2.39,59.49
3/3/2026 13:15,Day,355.94,180.47,11.15,2.52,61.31
3/3/2026 13:30,Day,350.22,185.11,11.61,2.46,58.8
3/3/2026 13:45,Day,350.98,177.63,11.35,2.73,64.48
3/3/2026 14:00,Day,352.18,182.19,13.01,2.1,130
3/3/2026 14:15,Day,351.09,179.19,12.53,2.66,57.06
3/3/2026 14:30,Day,349.21,179.13,12,2.69,56.17
3/3/2026 14:45,Day,352.12,184.4,12.89,2.19,57.35
3/3/2026 15:00,Day,350.09,183.3,16.17,2.45,56.44
3/3/2026 15:15,Day,352.85,183.25,11.48,2.44,61.97
3/3/2026 15:30,Day,350.35,185.22,,2.29,61.67
3/3/2026 15:45,Day,354.79,180.08,12.32,2.38,58.25
3/3/2026 16:00,Day,350.59,,11.38,2.33,56.13
3/3/2026 16:15,Day,351.42,178.76,11.89,2.76,59.68
3/3/2026 16:30,Day,353.46,181.3,11.47,2.64,57.83
3/3/2026 16:45,Day,349.78,179.48,11.17,2.69,59.51
3/3/2026 17:00,Day,352.41,180.39,12.56,2.61,
3/3/2026 17:15,Day,354.35,182.38,13.15,2.33,55.73
3/3/2026 17:30,Day,349.11,176.73,11.16,2.42,61.56
3/3/2026 17:45,Day,352.33,188.37,12.34,2.57,63.31
3/3/2026 18:00,Night,350.47,175.98,11.61,2.32,53.63
3/3/2026 18:15,Night,351.41,175.14,11.71,2.61,54.52
3/3/2026 18:30,Night,347.77,184.63,11.64,2.46,
3/3/2026 18:45,Night,347.62,183.17,11.48,2.44,55
3/3/2026 19:00,Night,350.94,182.5,12.03,2.61,56.98
3/3/2026 19:15,Night,350.53,182.51,11.5,2.57,60.21
3/3/2026 19:30,Night,350.45,179.95,12.16,2.45,54.72
3/3/2026 19:45,Night,350.62,176.41,11.97,2.67,53.22
3/3/2026 20:00,Night,348.78,180.3,11.86,2.34,51.12
3/3/2026 20:15,Night,350.42,177.29,11.46,2.59,53.32
3/3/2026 20:30,Night,350.53,183.9,11.65,2.59,55.1
3/3/2026 20:45,Night,348.71,179.41,12.45,2.45,59.04
3/3/2026 21:00,Night,,176.7,12.3,2.55,54.88
3/3/2026 21:15,Night,350.85,178.71,11.41,2.31,55.86
3/3/2026 21:30,Night,347.86,181.65,12.06,2.64,54.21
3/3/2026 21:45,Night,351.18,177.75,12.45,2.47,58.38
3/3/2026 22:00,Night,348.25,176.71,11,2.42,60.7
3/3/2026 22:15,Night,351.42,180.97,12.33,2.66,
3/3/2026 22:30,Night,352.09,180.98,11.6,2.39,54.51
3/3/2026 22:45,Night,348.52,177.97,12.34,2.29,57.09
3/3/2026 23:00,Night,351.73,178.12,11.54,2.27,57.31
3/3/2026 23:15,Night,350.74,180.93,10.92,2.59,59.88
3/3/2026 23:30,Night,351.48,174.21,11.02,2.31,56.98
3/3/2026 23:45,Night,353.41,174.37,12.03,2.76,130
3/4/2026 0:00,Night,,177.13,12.16,2.19,56.32
3/4/2026 0:15,Night,348.64,179.15,11.46,2.75,57.3
3/4/2026 0:30,Night,348.4,181.24,12.38,2.53,56.49
3/4/2026 0:45,Night,348.53,185.9,11,2.49,55.75
3/4/2026 1:00,Night,349.86,183.43,11.96,2.42,57.62
3/4/2026 1:15,Night,350.61,179.36,11.27,2.56,58.14
3/4/2026 1:30,Night,350.5,179.92,11.61,2.49,58.63
3/4/2026 1:45,Night,351.49,,12.03,2.67,57.14
3/4/2026 2:00,Night,350.02,179.93,11.48,2.52,54.59
3/4/2026 2:15,Night,352.62,178.85,11.77,2.52,56.28
3/4/2026 2:30,Night,349.52,181.29,12.6,2.45,57.85
3/4/2026 2:45,Night,354.9,176.69,11.65,2.49,-5
